Feature 1,Feature 2,Interaction Score
Early Profile,Capable Class,0.012174893
Early Profile,Proven Class,0.0121600935
Inside Barrier,1st Up,0.012105547
Middle Barrier,Early Profile,0.012082777
Middle,RECENCY 16-22,0.012055528
Early Profile,RECENCY 23-29,0.012023927
Capable Class,RECENCY 23-29,0.011894987
Sustain Profile,Last Race Shorter Distance,0.01175254
Middle Barrier,Capable Class,0.011729454
Middle,Proven Surface,0.011663533
Middle Barrier,RECENCY 1-7,0.011528542
Proven Class,Last Race Shorter Distance,0.011511867
Proven Surface,RECENCY 8-15,0.011483039
Presser Profile,2nd Up,0.011333195
Middle,Capable Class,0.011251176
Presser Profile,Last Race Shorter Distance,0.011217897
Body weight Optimal,Lost 2 Length Last Furlong,0.011059833
Sustain Profile,RECENCY 16-22,0.010974531
Inside Barrier,Proven Class,0.010955471
Outside Barrier,4th Up,0.010884431
Inside Barrier,4th Up,0.0107631115
3rd Up,Capable Distance,0.010706136
Sustain Profile,RECENCY 8-15,0.01067119
Routes,RECENCY 16-22,0.010617946
4th Up,Capable Distance,0.010519225
Early Presser Profile,Proven Distance,0.010484458
Early Profile,UP CLASS,0.010427039
Routes,RECENCY 23-29,0.010409805
Body weight Optimal,RECENCY 8-15,0.010408962
Body weight Optimal,3rd Up,0.010281264
Inside Barrier,Capable Class,0.010274993
Sprint,RECENCY 16-22,0.010190685
Outside Barrier,Proven Distance,0.0101499045
Presser Profile,RECENCY 16-22,0.010096262
Inside Barrier,Proven Distance,0.010087241
3rd Up,RECENCY 23-29,0.010073535
DOWN CLASS,Last Race Longer Distance,0.009949884
Middle,RECENCY 30-37,0.009926462
Lost 2 Length Last Furlong,Last Race Shorter Distance,0.009910416
Outside Barrier,RECENCY 23-29,0.009884736
Outside Barrier,RECENCY 38-45,0.0098621175
3rd Up,Capable Class,0.009830963
Body weight Optimal,4th Up,0.009825831
4th Up,Last Race Longer Distance,0.009808644
Sustain Profile,RECENCY 23-29,0.009768045
Capable Surface,RECENCY 8-15,0.009753775
Presser Profile,3rd Up,0.009647023
Middle,3rd Up,0.009645519
RECENCY 8-15,Last Race Shorter Distance,0.009635647
Body weight Optimal,Last Race Longer Distance,0.009633076
4th Up,Capable Surface,0.009622913
Early Presser Profile,1st Up,0.009580648
Outside Barrier,Early Presser Profile,0.009557643
RECENCY 16-22,Last Race Longer Distance,0.0095561845
Sprint,Proven Distance,0.0095521305
Inside Barrier,Lost 2 Length Last Furlong,0.009551979
Proven Distance,RECENCY 23-29,0.009506628
RECENCY 8-15,Lost 2 Length Last Furlong,0.009467267
Inside Barrier,Middle Barrier,0.009464001
1st Up,Capable Surface,0.009317376
Proven Class,RECENCY 23-29,0.009310936
Proven Class,Capable Class,0.009303355
Middle Barrier,Presser Profile,0.009286334
Routes,Middle Barrier,0.009277006
Sprint,Last Race Longer Distance,0.009263434
Capable Surface,RECENCY 23-29,0.009253016
Body weight Optimal,2nd Up,0.009250185
Proven Surface,Last Race Shorter Distance,0.009217341
Early Profile,Last Race Shorter Distance,0.009190377
Proven Distance,RECENCY 30-37,0.009083126
Capable Distance,Last Race Longer Distance,0.009001921
Presser Profile,Last Race Longer Distance,0.0089554265
Proven Distance,Capable Distance,0.008953042
3rd Up,Proven Class,0.008943556
