MR,POOR BURST,W,Outside Barrier,Make up position Stretch >= 6,HW,Capable Distance,Make up position Stretch >= 5,BO5/*.1,ELITE CLOSER,Early Profile,Sustain Profile,ELITE BURST,Middle Barrier,Good,Ran On Well,Make up position Stretch >= 9,Good to Firm,POOR CLOSER,Lay S Slow,Inside Barrier,Make up position Stretch >= 7,Make up position Stretch >= 8,H200 => PAR,Proven Class,ELITE 600,Good Run in 3,FAST EARLY,RECENCY 30-37,RECENCY 16-22,WIN NEXT START
91.0873720583143,1,2.0,0,0,1062.0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
87.9996957534313,0,2.0,0,0,1088.0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
82.0375881329594,1,2.0,0,0,1093.0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0
87.0,1,1.0,1,0,1097.0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0
90.5332644111777,1,1.0,0,0,1100.0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0
71.6281105226207,0,1.0,0,0,1113.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
66.5862977266958,1,-145211.03003246753,0,0,1113.0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
96.8474666351223,0,-145211.03003246753,1,0,1004.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
87.7487145136564,0,2.0,1,0,1012.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69.8973784939816,1,2.0,0,0,1018.0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
82.1722689370843,1,3.0,1,0,1011.0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
93.47411021104,1,1.0,0,0,1018.0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
76.6018020401422,1,1.0,0,0,1022.0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
81.5014672302616,0,1.0,0,0,1018.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
82.2386349433919,1,1.0,1,0,1022.0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
89.4278963150292,0,2.0,0,0,1024.0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0
90.7159838795189,1,3.0,1,0,1025.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
95.3369493535355,0,1.0,0,0,1031.0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0
98.2387829287601,1,1.0,1,0,1031.0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,0,1,0,0
91.080759736143,1,2.0,0,0,1022.0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0
87.4217101894664,1,2.0,1,0,1037.0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
84.8099013805086,1,3.0,0,0,1034.0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
84.3125143693843,1,2.0,1,0,1033.0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
89.529433157235,0,1.0,0,0,1034.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0
71.0252869788815,1,2.0,1,0,1036.0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0
89.0805665177733,0,1.0,1,0,1044.0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0
52.9243817828464,1,2.0,0,0,1044.0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
93.0473017016147,1,1.0,0,0,1055.0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
90.0957987761283,0,3.0,1,0,1050.0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
